created_at,text,clean_text
2025-04-26 16:08:29+00:00,"@Matthewtravis08 Shameful!!! Have the decency to do it at a climate change conference, economic forum or meeting with the president of Israel like a true leader. https://t.co/xSMht52knC","Shameful!!! Have the decency to do it at a climate change conference, economic forum or meeting with the president of Israel like a true leader."
2025-04-26 16:08:17+00:00,@_ClimateCraze @davidissim Solar physicists (you know people who actually study the sun) agree that changes in the sun’s output are not responsible for the current climate change. https://t.co/3IOxzhD1g7,Solar physicists (you know people who actually study the sun) agree that changes in the suns output are not responsible for the current climate change.
2025-04-26 16:08:13+00:00,"@RepMarkPocan What you call you have to buy a ev car we even pay you money if you do ? 
The "" in the name of climate change "" we can't do it but China can do  pollution  ?","What you call you have to buy a ev car we even pay you money if you do ? The "" in the name of climate change "" we can't do it but China can do pollution ?"
2025-04-26 16:08:01+00:00,"Yes they conspired to manipulate temperature data to fit their narrative on global warming (now climate change).
Why would we ever believe them? https://t.co/403kt8lOMz",Yes they conspired to manipulate temperature data to fit their narrative on global warming (now climate change). Why would we ever believe them?
2025-04-26 16:07:48+00:00,@Conservalb Climate change is not flooding the country with illegal immigrants.,Climate change is not flooding the country with illegal immigrants.
2025-04-26 16:07:33+00:00,@ThomasSowell Al Gore is a political hack. So I do believe in climate change but this guy grifted on the movement for a cash payout with his sensational lies and now a huge number of people don’t take CC seriously because everything he said turns out to be BS. The Oceans did not rise and kill,Al Gore is a political hack. So I do believe in climate change but this guy grifted on the movement for a cash payout with his sensational lies and now a huge number of people dont take CC seriously because everything he said turns out to be BS. The Oceans did not rise and kill
2025-04-26 16:07:30+00:00,I wonder how many rich liberals climate change activists bought oceanfront property knowing it's all going to be underwater soon. https://t.co/wTEBW2X6Ty,I wonder how many rich liberals climate change activists bought oceanfront property knowing it's all going to be underwater soon.
2025-04-26 16:07:15+00:00,"@AskPerplexity @plightus @gia41nyc @PlanetOfMemes @elonmusk The Atacama Desert is a top Mars analog due to its extreme dryness, high UV radiation, and saline soils, mimicking Martian conditions. NASA uses it to test rovers and study extremophiles, aiding Mars life detection. While Earth's atmosphere and climate change pose limitations,","The Atacama Desert is a top Mars analog due to its extreme dryness, high UV radiation, and saline soils, mimicking Martian conditions. NASA uses it to test rovers and study extremophiles, aiding Mars life detection. While Earth's atmosphere and climate change pose limitations,"
2025-04-26 16:07:10+00:00,"Despite trillions of dollars in propaganda over the past 37 years, climate communism is so unpopular that climate communist politicians like Canada's @MarkJCarney can't afford to talk about it. He hopes to sneak into power and then implement the agenda.

https://t.co/GQ06wy2oFq https://t.co/iJfZpdovNH","Despite trillions of dollars in propaganda over the past 37 years, climate communism is so unpopular that climate communist politicians like Canada's can't afford to talk about it. He hopes to sneak into power and then implement the agenda."
2025-04-26 16:07:03+00:00,@SenDuckworth What happened to no one is above the law?  Same thing happened to climate change I guess 🤡,What happened to no one is above the law? Same thing happened to climate change I guess
